Name,Category,Region,Info
Jochisiu Shrine,Shrine,West Necluda,"Rauru's BlessingLocation:Coordinates: 0927, -1905, 0030On the side of the road, above a large stone structure.Shrine Quest:Keys Born of WaterTreasure:Big Battery: Just before the end statue."
Jogou Shrine,Shrine,Mount Lanayru,"Rauru's BlessingLocation:3346, -1184, 0057 -Lanayru Road East. In the circular area with a Bokoblin Boss patrolling, find the cracked wall on the center pillar. Destroy it, and enter a secret area.Solution:The puzzle here is actually finding the shrine.Treasure:Hearty Elixir - Just before the end statue."
Jojon Shrine,Shrine,Hyrule Field,"Proving Grounds: RotationLocation:InsideCrenel Peak Cave, behind a large barrier of breakable rocks.Solution:Defeat all 5 constructs, using only the gear provided in the room.Treasure:Magic Rod [Chest]- Right before the end statue."
Joju-u-u Shrine,Shrine,Faron Grasslands,"Building BridgesLocation:Coordinates: 1516, -3576, 0142On a cliff overlooking the stableSolution:Reattach the broken bridge to reach the next ledge.Drop down, and Attach the third panel from the end to the pillar. The bridge should be taut enough to reach the next platform.Attach the metal cube to the last panel of the bridge, then Ultrahand it over the beam. Climb back up and walk the bridge to the next platform.Walk the bridge to the end statue.Treasure:Large Zonaite: On a high platform beside the last bridge. Ultrahand the middle panel and Attach it to the plate on the side."
Joku-u Shrine,Shrine,Sky,"Location:1375, -3339, 0429 - Dragonhead IslandPuzzle Name:Rauru's BlessingSolution:Walk up to the end statue.Treasure:Diamond - Just before the end statue."
Joku-usin Shrine,Shrine,Sky,"Proving Grounds: Short CircuitLocation:1074, -3346, 0786 - Use ascend through the floor while on the rails underneathSolution:Defeat all the constructs, using only the gear provided in the room.Treasure:Electro Elixir - Just before the end statue."
Joniu Shrine,Shrine,Lanayru Great Spring,"Rauru's BlessingLocation:2918, 0505, 0155 -Ralis Channel- Follow the cave's river north to the end.Shrine Quest:The Ralis Channel CrystalTreasure:Large Zonai Charge - Just before the end statue."
Jonsau Shrine,Shrine,Lanayru Wetlands,"Deep ForceLocation:1751, 0011, 0034 - On a grassy plain, near the shore.Solution:Ultrahand the floating ball underneath the target, then push it down the water and release it. It should launch upwards and hit the target.In the next room, defeat the construct.Repeat step 1 with the floating board, placing it vertically so it launches straight.In the next room, launch the floating ball under the moving platform to dislodge it and let it fall into the water. Then, jump in the platform and Recall it to the top.Paraglide to the end statue.Treasure:Strong Construct Bow- In the 2nd room, in the water by the first pillar. Grab it with Ultrahand."
Josiu Shrine,Shrine,Sky,Rauru's BlessingLocation:North Necluda Sky ArchipelagoShrine Quest:The North Necluda Sky CrystalTreasure:Large Zonai Charge - Just before the end statue.
Kadaunar Shrine,Shrine,Sky,"Water Makes a WatLocation:1882, 1202, 1251 - On the main island of South Eldin Sky Archipelago (reachable via the train rails)Solution:Activate the hydrant to create a block of cooled lava, then Ultrahand it away. Do it until you have 4 blocks and Attach them together into a bridge to cross the gap.Destroy the cracked blocks using any hammer-type weapon. If you don't have any, Fuse a lava block with the nearby Rusty Claymore.Bring your bridge in the next room, and use it to reach the end statue. You can always extend it by adding more lava blocks.Treasure:Strong Construct Bow- On a high ledge, past the first gap. Use your bridge to reach it as a ramp."
Kahatanaum Shrine,Shrine,Sky,"Rauru's BlessingLocation:-3296, 3431, 1347 - East Hebra Sky ArchipelagoSolution:Walk up to the end statue.Treasure:Large Zonai Charge - Just before the end statue."
Kakariko Village Cave,Cave,West Necluda,Cave Entrances:Entrance is at the very top of the waterfall in Kakariko VillageBubbulfrog:On the ceiling in the second chamberInside the Cave:3 x Fairy4 x Ore Deposit2 x Hearty Truffle12 x Brightbloom Seed2 x Glowing Cave Fish
Kakariko Village Well,Well,West Necluda,Location:??Puzzle Solution:??Treasure:Eightfold Blade [Chest]
Kamatukis Shrine,Shrine,Deep Akkala,"A Precise StrikeLocation:3430, 3356, 0071 - On the eastern shore of Skull LakeSolution:Attach the metal block to the center of the pillar above.Using Ultrahand, pull the contraption backwards. When released, it should hit the Ball into the socket.Aim slightly left to avoid the hill. If you miss, hit the crystal to respawn the ball.Go to the end statue.Treasure:Mighty Zonai Longsword- Repeat the above steps in the side room, this time lining your swing with the moving target."
Kamizun Shrine,Shrine,Hyrule Field,"Proving Grounds: BeginnerLocation:-0177, -1557, 0023 - ??Solution:Defeat all the constructs, using only the gear provided in the room.Treasure:Spring Shield [Chest]- Just before the end statue."
Kaneli's Flight Training,Side Quest,Hebra Mountains,How to Begin:Speak with Kaneli after completingTulin of Rito VillageSolution:Pass through at least 15 rings in under 30 seconds.Reward:Purple RupeeAdvanced Flying Course
Kara Kara Bazaar Well,Well,Gerudo Desert,
Karahatag Shrine,Shrine,Gerudo Desert,"Drifting FlameLocation:-3730, -3624, 0043 - In the middle of the oasis.Solution:Light up the upside-down candle left of the door. You may light the Torch on the floor and throw it.Ultrahand the candle, and move it above each white tile, stopping a little every time. Then, bring it to the pressure plate.Press on the pressure plate; this should lower the floor and reveal the upside down candles.Recall your candle; it should fly back and light the 3 upside down candles.Walk to the end statue.Treasure:Mighty Construct Bow- In the 2nd room, underneath the pressure plate. Jump down and paraglide back to access."
Kasari Lightroot,Lightroot,Depths,
Kataki Lightroot,Lightroot,Depths,
Katenim Lightroot,Lightroot,Depths,
Katijabis Lightroot,Lightroot,Depths,
Kato Lightroot,Lightroot,Depths,
Katoij Lightroot,Lightroot,Depths,
Kawagom Lightroot,Lightroot,Depths,
Kawakanis Lightroot,Lightroot,Depths,
Kawakarut Lightroot,Lightroot,Depths,
Kawamit Lightroot,Lightroot,Depths,
Kawatik Lightroot,Lightroot,Depths,
Kawikatisar Lightroot,Lightroot,Depths,
Kawiraus Lightroot,Lightroot,Depths,
Kawisar Lightroot,Lightroot,Depths,
Kawumoro Lightroot,Lightroot,Depths,
Kayam Lightroot,Lightroot,Depths,
Kegopa Lightroot,Lightroot,Depths,
Keys Born of Water,Shrine Quest,West Necluda,"Associated Shrine:Jochisiu Shrine; Speak with the Steward Construct by the stone structure.Solution:Using the nearby Frost Emitter or Ice Fruit arrows, create 3 ice platforms from the lake. Then, place each platform in the diamond-shaped slots on the pillars, melting the platforms to fit each slot size."
Kikakin Shrine,Shrine,Great Hyrule Forest,"Shining in DarknessLocation:-0395, 2735, 0287 - On the mountain ridgeSolution:Form the starting room, turn left, then right. Cross the crushing walls, then head at the end of the hallway.Ultrahand the slab away to reveal the chest containing the Small Key,Make your back to the starting the room and unlock the door to the end statue.Treasure:Opal - In a small alcove. From the starting room, turn left twice; the alcove is just beyond the lasers.Amber - Behind a stone cube on the wall. From the starting room, turn right, the look on the right wall.Luminous Stone - Beyond some crushing walls. From the Small Key chest, turn left twice.Zonaite Bow - Above the ceiling. From the Small Key chest, past the crushing walls, look up for bright hole."
Kimakarut Lightroot,Lightroot,Depths,
Kimayat Shrine,Shrine,Deep Akkala,"Proving Grounds: SmashLocation:2863, 3637, 0241 - Northeast of Death Mountain's peak, in plain sight.Solution:Destroy the constructs, using only the gear provided in the room.Treasure:Captain II Reaper- Just before the end statue"
Kimimadena Lightroot,Lightroot,Depths,
Kimimeg Lightroot,Lightroot,Depths,
Kimnaz Lightroot,Lightroot,Depths,
Kisihayam Lightroot,Lightroot,Depths,
Kisinona Shrine,Shrine,Eldin Canyon,"Wind PowerLocation:2568, 1247, 0173 - On a plateau, overlookingFoothill StableSolution:Attach both Fans to opposite sides of the giant spinning wheel in the center of the room; doing so should power all the turbines around it.Walk to the end statue.Treasure:Mighty Construct Bow- On top of a pillar, on the left side of the room. Use a Fan to glide upwards to the chest."
Kisomom Lightroot,Lightroot,Depths,
Kitawak Shrine,Shrine,Gerudo Highlands,"Upward and ForwardLocation:-1529, -2928, 0321 -  Atop the East Gerudo MesaSolution:Attach the stone slab at the end of the other to drop them and cross the gap.Dislodge the slab, and attach it at the end of the other one ahead; they should fall towards Link.Attach the other slab at the end to complete the ramp.Dislodge the top slab, and Attach it at the end of the other.Stand at the end of the slab and shoot the crystal; this should propel Link upwards. Glide to the end statue.Treasure:10x Arrows - After crossing the first bridge, Attach the first slab to the moving cog. Use it as a platform to reach the chest."
Kiuyoyou Shrine,Shrine,Great Hyrule Forest,"Fire and IceLocation:-1105, 2086, 0104 - In the open by some treesSolution:Grab the ice cube, and melt it so it fits in the alcove with the pressure plate. Place it there to open the door.Glide to the other side with the air flow.Ultrahand the metal plate to block the flames. Then, grab the ice cube out and Attach the metal plate on top of it. Place the cube on the spikes and let it slide back to the start.Place the cube underneath the flames in the starting room to activate the pressure plate and open the door to the end statue.Treasure:Zonaite Spear- In the 2nd room. Ultrahand the smaller ice cube and place it on the higher ledge. Reach the ledge using the metal plate and climb to the chest."
Kogoir Lightroot,Lightroot,Depths,
Kohsustu Lightroot,Lightroot,Depths,
Kolomo Garrison Ruins,Landmark,Hyrule Field,
Koltin's Fabric,Paraglider Fabric,Akkala Highlands,Required:Collect and turning in the remaining 101 Bubbul Gems toKoltin
Komo Shoreline Cave,Cave,Faron Grasslands,"Cave Entrances:Komo Shoreline Cave EntranceBubbulfrog:Behind the cracked wall, in the Lightning Like room.Inside the Cave:Ancient Blade [Chest]Broadsword [Chest]"
Kopeeki Drifts Cave,Cave,Tabantha Frontier,Cave Entrances:Kopeeki Drifts Cave EntranceBubbulfrog:Build an ice path to the left of the lake and go up the wall into the small room.Inside the Cave:Nouda Shrine (Found in the back of the cave. Use the thin ice blocks and Ultrahand to cross the freezing water)1 x Ice Like1 x Ore Deposit1 x Bomb Flower2 x Hearty Truffle6 x Brightbloom Seed3 x Giant Brightbloom Seed1 x Brightcap1 x Glowing Cave Fish6 x Sticky Lizard
Koradat Lightroot,Lightroot,Depths,
Korakut Lightroot,Lightroot,Depths,
Koro-nui Lightroot,Lightroot,Depths,
Korok,Korok Seed,Gerudo Highlands,"Location:Nephra HillPuzzle:Lift the rockCoordinates:-2139, -1486, 0280"
Korok,Korok Seed,Gerudo Desert,"Location:Champion GatePuzzle:Lift up a rockCoordinates:-1945, -3184, 0127"
Korok,Korok Seed,Sky,"Location:On a very small floating island to the right of the shrine if you're looking at the shrine.Puzzle:Step on the trunk and jump down to catch the KorokCoordinates:-2366, 0861, 0618"
Korok Fabric,Paraglider Fabric,Great Hyrule Forest,Required:CompleteThe Secret Roomside quest
Korok Grove,Landmark,Depths,
Korok Mask,Armor,Depths,"Location:In the Forest Coliseum, guarded by theBlack HinoxStats:1 DefenseArmor Effect:Shakes and jingles when near a korok puzzle"
Korok Seed,Korok Seed,Gerudo Desert,Location:On top of stone wallPuzzle:Bring him to hisfriendCoordinates:-3343 -3054 0040
Korok Seed,Korok Seed,Lanayru Great Spring,"Location:On the Rutala DamPuzzle:Bring him to withhis friendCoordinates:3527, -0061, 0211"
Korok Seed,Korok Seed,Lanayru Great Spring,"Location:??Puzzle:Bringhis friendhereCoordinates:3879, 0265, 0211"
Korok Seed,Korok Seed,Lanayru Wetlands,"Location:In front of the lake.Puzzle:Bring him to hisfriendCoordinates:2690, -0544, 0111"
Korok Seed,Korok Seed,Deep Akkala,"Location:??Puzzle:Bringhis friendto himCoordinates:4415, 3265, 0206"
Korok Seed,Korok Seed,Lanayru Great Spring,"Location:Bring him tohis friendto the South East on Lodrun HeadlandPuzzle:Use the nearby Zonai wing to fly him to his friendCoordinates:4000, -0185, 0176"
Korok Seed,Korok Seed,Deep Akkala,"Location:??Puzzle:Bring him tohis friendCoordinates:4297, 3273, 0171"
Korok Seed,Korok Seed,Gerudo Highlands,"Location:??Puzzle:Bring him down the hill to hisfriendCoordinates:-3197, -1170, 0479"
Korok Seed,Korok Seed,Faron Grasslands,"Location:??Puzzle:Bring him to hisFriendCoordinates:-0304, -3290, 0024"
Korok Seed,Korok Seed,West Necluda,Location:On top of the stumpPuzzle:Follow the FlowerCoordinates:0513 -1795 0061
Korok Seed,Korok Seed,Eldin Canyon,"Location:In a tiny cave inside the wallPuzzle:Ascent from an alcove located halfway up the cliff with a ceiling stump.Coordinates:1433, 1953, 0337"
Korok Seed,Korok Seed,Lanayru Wetlands,"Location:??Puzzle:Bring him to hisfriend.Coordinates:2238, 0245, 0014"
Korok Seed,Korok Seed,Lanayru Great Spring,"Location:??Puzzle:Bring him to hisfriendCoordinates:2807, 0183, 0146"
Korok Seed,Korok Seed,Lanayru Great Spring,"Location:On top of a hillPuzzle:Stand on the log and jump to the target.Coordinates:3277, -0011, 0276"
Korok Seed,Korok Seed,Eldin Canyon,"Location:On a hill near aFoothill StablePuzzle:Bring him to hisfriendCoordinates:2639, 1109, 0158"
Korok Seed,Korok Seed,Lanayru Great Spring,"Location:On the cliff east of East Reservoir LakePuzzle:Solve the Block PuzzleCoordinates:4219, 0158, 0279"
Korok Seed,Korok Seed,Akkala Highlands,"Location:??Puzzle:Bring him tohis friendCoordinates:4055, 0943, 0276"
Korok Seed,Korok Seed,Akkala Highlands,"Location:Overlooking the cliffPuzzle:Reunite the Korok with hisfriendat the beginning of the Malin Bay spiral beachCoordinates:4294, 1607, 0153"
Korok Seed,Korok Seed,Deep Akkala,"Location:On a cliff overlooking East Akkala BeachPuzzle:Bring it to hisfriendCoordinates:4353, 2535, 0077End Coordinates:4628 2860 0002"
Korok Seed,Korok Seed,Eldin Canyon,Location:On ground next to minecart trackPuzzle:Take him to hisfriendCoordinates:1815 2641 0400
Korok Seed,Korok Seed,Sky,"Location:On top of a large treePuzzle:Lift the stoneCoordinates:0967, -3185, 0715"
Korok Seed,Korok Seed,Hyrule Ridge,"Location:On the edge of a slope north of Turakawak Shrine.Puzzle:Bring the Korok tohis friendat the campsite to the west to earn 2 seeds.Coordinates:-3584, 0012, 0069"
Korok Seed,Korok Seed,Hyrule Ridge,"Location:On the small island in the middle of the riverPuzzle:Lift the stoneCoordinates:-1770, -1242, 0010"
Korok Seed,Korok Seed,Gerudo Desert,"Location:Below the little plateauPuzzle:Bring himhis friendCoordinates:-2544, -3928, 0014"
Korok Seed,Korok Seed,East Necluda,"Location:On the Start of the hillsPuzzle:Bring him tohis friend.Coordinates:2645, -2118, 0127"
Korok Seed,Korok Seed,Eldin Canyon,"Location:On top of rocks to the east of the construction materialsPuzzle:Korok needs to get to theirfriend.Coordinates:2545, 0639, 0127"
Korok Seed,Korok Seed,Lanayru Great Spring,"Location:At the top of the treePuzzle:Climb at the top of the treeCoordinates:3191, 0224, 0150"
Korok Seed,Korok Seed,Deep Akkala,"Location:??Puzzle:Bring him to hisFriendCoordinates:3959, 3118, 0179"
Korok Seed,Korok Seed,Gerudo Highlands,"Location:On the lower floor of the liftPuzzle:Bring him tohis friendCoordinates:-2432, -2118, 0234"
Korok Seed,Korok Seed,East Necluda,"Location:??Puzzle:Bring him to hisfriendwest of here.Coordinates:2829, -3884, 0000"
Korok Seed,Korok Seed,East Necluda,Location:Under a palm treePuzzle:Bring him tohis friendsouth of here on the opposite beachCoordinates:3539 -3458 0000
Korok Seed,Korok Seed,Gerudo Highlands,Location:??Puzzle:Bring him to hisFriendlocated North of hereCoordinates:-4538 -1348 0528
Korok Seed,Korok Seed,Eldin Mountains,"Location:On slope to east of road.Puzzle:Bring him To hisfriendCoordinates:0522, 3397, 0184"
Korok Seed,Korok Seed,West Necluda,"Location:Inside huge broken up tree laying down the slope.Puzzle:Stand on pedestal and glide or shield-surf through the ring in time.Coordinates:0460, -2141, 0009"
Korok Seed,Korok Seed,Akkala Highlands,"Location:South of Shadow PassPuzzle:Follow where the Red Pointing Arrows lead  to the top of the treeCoordinates:3326, 2168, 0135"
Korok Seed,Korok Seed,West Necluda,"Location:??Puzzle:Take him to hisfriendCoordinates:0764, -2138, 0136"
Korok Seed,Korok Seed,Faron Grasslands,"Location:Next to a tree at the top of the hillPuzzle:Bring him tohis friendCoordinates:-1015, -2631, 0199"
Korok Seed,Korok Seed,Gerudo Desert,"Location:South of Gerudo Town's, on a sand hillPuzzle:Take the Korok to hisfriendCoordinates:-3816 -3126 0051"
Korok Seed,Korok Seed,Hebra Mountains,"Location:Ruins under mountain ledgePuzzle:Bring him hisfriendsouthwest of himCoordinates:-2797, 2876, 0600"
Korok Seed,Korok Seed,Faron Grasslands,"Location:Along the bottom of the cliffPuzzle:Bring him tohis friend, further east along the beach.Coordinates:0082, -3769, 0006"
Korok Seed,Korok Seed,Great Hyrule Forest,"Location:Side of the hillPuzzle:Bring him back to hisfriendCoordinates:-0323, 3158, 0099"
Korok Seed,Korok Seed,Sky,"Location:Dragonhead IslandPuzzle:Dive into the circle of flowers in the big tree stumpCoordinates:1332, -3406, 0464"
Korok Seed,Korok Seed,West Necluda,"Location:Rock formation in the river.Puzzle:Stand in the platform to active a time trial towards the river bank.Coordinates:1086, -1048, 0010"
Korok Seed,Korok Seed,Lanayru Wetlands,"Location:Near the construction platform on the beachPuzzle:Bring him to hisfriendto the South East.Coordinates:1535, 0511, 0010"
Korok Seed,Korok Seed,Eldin Canyon,Location:On a ledge beneath the bridgePuzzle:Glide to the landing padCoordinates:1799 2209 0497
Korok Seed,Korok Seed,Hyrule Ridge,Location:By the 2 statuesPuzzle:Follow the flowerCoordinates:-1969 -1090 0098
Korok Seed,Korok Seed,Mount Lanayru,"Location:Northwest of the shrine.Puzzle:Take him to hisfriend, uphill to the east.Coordinates:3501, -1475, 0162"
Korok Seed,Korok Seed,Hyrule Field,"Location:In the water on the west side of the bridgePuzzle:Dive off the bridge into the ring.Coordinates:-1150, -1011, 0008"
Korok Seed,Korok Seed,East Necluda,"Location:On top of the chimneyPuzzle:Interact with the swirling leavesCoordinates:2397, -1844, 0022"
Korok Seed,Korok Seed,Akkala Highlands,"Location:Hill overlooking the shrine.Puzzle:Take him tohis friendto the east.Coordinates:3746, 2305, 0093"
Korok Seed,Korok Seed,Gerudo Desert,"Location:On top of a blue chimney.Puzzle:Sprakling Lights - Interact with the sparkling lights.Coordinates:-3854, -2862, 0060"
Korok Seed,Korok Seed,Eldin Canyon,"Location:??Puzzle:Grab the big rock in the waterCoordinates:1448, 1750, 0308"
Korok Seed,Korok Seed,Great Hyrule Forest,"Location:Top of the hillPuzzle:Bring him back tohis friendCoordinates:-0547, 2225, 0267"
Korok Seed,Korok Seed,East Necluda,"Location:On the ledge of a cliffPuzzle:Lift the rockCoordinates:3665, -3278, 0206"
Korok Seed,Korok Seed,Lanayru Great Spring,"Location:Under the topmost stairsPuzzle:Shoot the balloonCoordinates:3579, 0417, 0211"
Korok Seed,Korok Seed,West Necluda,"Location:In the little swampPuzzle:Follow the flowerCoordinates:0282, -2240, 0036"
Korok Seed,Korok Seed,Faron Grasslands,"Location:In the small pondPuzzle:Jump into the water flower ringCoordinates:1641, -3674, 0173"
Korok Seed,Korok Seed,Faron Grasslands,"Location:Offering StatuePuzzle:Place bananas on the 3 offering platforms.Coordinates:1832, -3365, 0054"
Korok Seed,Korok Seed,East Necluda,"Location:West of Temto HillPuzzle:Bring him to hisfriendCoordinates:2242, -3466, 0029"
Korok Seed,Korok Seed,East Necluda,"Location:??Puzzle:Jump into circle of lilypads belowCoordinates:2801, -1849, 0008"
Korok Seed,Korok Seed,West Necluda,"Location:??Puzzle:Bring him to hisfriendCoordinates:1171, -1882, 0009"
Korok Seed,Korok Seed,West Necluda,"Location:Inside a fallen log by the lake.Puzzle:Shoot the acorn in one end of the log.Coordinates:0629, -1161, 0013"
Korok Seed,Korok Seed,East Necluda,Location:Near the base of the hill the Research Lab is onPuzzle:Bring him back tohis friendCoordinates:3731 -2160 0201
Korok Seed,Korok Seed,Lanayru Great Spring,"Location:On the shore of the water.Puzzle:Complete the stone shape.Coordinates:3166, 0586, 0116"
Korok Seed,Korok Seed,Lanayru Great Spring,Location:At the edge of the cliff.Puzzle:Pinwheel Balloons - Shoot the balloons spawned by approaching the pinwheels.Coordinates:??
Korok Seed,Korok Seed,Lanayru Great Spring,Location:In the small cave over a pond on the north side of the Zodobon HighlandsPuzzle:AscendCoordinates:2673 0009 0099
Korok Seed,Korok Seed,Hyrule Field,"Location:Under the bridge just outside the Dining Hall Balcony.Puzzle:Lift the Rock.Coordinates:-0128, 0813, 0096"
Korok Seed,Korok Seed,Hyrule Field,"Location:Under the stone bridgePuzzle:Lift the RockCoordinates:-0252, 0944, 0305"
Korok Seed,Korok Seed,Hyrule Ridge,"Location:On a small hill overlooking Regencia River.Puzzle:Chase the sparklesCoordinates:-1556, 0816, 0062"
Korok Seed,Korok Seed,Hyrule Field,"Location:Under the stone bridgePuzzle:Shoot the balloonCoordinates:-1688, -1601, -0010"
Korok Seed,Korok Seed,Gerudo Highlands,"Location:On the cliffsidePuzzle:Bring hisfriendbackCoordinates:-1641, -2361, 0007"
Korok Seed,Korok Seed,Gerudo Highlands,"Location:In the camp just upstream from his friend.Puzzle:Bring hisfriendbackCoordinates:-2050, -1995, 0041"
Korok Seed,Korok Seed,Tabantha Frontier,"Location:Top of pillarPuzzle:Flower ChaseCoordinates:-3649, 0511,0286"
Korok Seed,Korok Seed,Hyrule Ridge,"Location:??Puzzle:Take the korok tohis friendlocated up hillsCoordinates:-2960, 0087, 0143"
Korok Seed,Korok Seed,Eldin Canyon,Location:Out in the open near the drop off of a hillPuzzle:Bring him to hisfriendCoordinates:??
Korok Seed,Korok Seed,Deep Akkala,"Location:On top of the three rocks standing upPuzzle:Pick up a small rock to revealCoordinates:4155, 3167, 0250."
Korok Seed,Korok Seed,Tabantha Frontier,"Location:On top of the cliff hanging over the Forgotten TemplePuzzle:Put the rock in the wooden frameCoordinates:-1459, 2365, 0138"
Korok Seed,Korok Seed,Gerudo Highlands,"Location:Between three treesPuzzle:Chase the lightsCoordinates:-3969, -0610, 0657"
Korok Seed,Korok Seed,Gerudo Highlands,"Location:Ledge on the side of a cliffPuzzle:Melt the ice and then lift the stoneCoordinates:-3810, -0790, 0548"
Korok Seed,Korok Seed,Gerudo Highlands,"Location:Ledge on edge of the cliffPuzzle:Complete the stone circleCoordinates:-3567, -0735, 0556"
Korok Seed,Korok Seed,Gerudo Highlands,"Location:On top of the small plateauPuzzle:Race to the finish (you can shield surf)Coordinates:-3722, -0802, 0641"
Korok Seed,Korok Seed,Gerudo Highlands,Location:Ledge near the bottom of a cliffPuzzle:Follow the flowerCoordinates:-3751 -1081 0524
Korok Seed,Korok Seed,Gerudo Highlands,"Location:Lone tree at edge of cliffPuzzle:Climb the tree and examine the lightsCoordinates:-3491, -0983, 0612"
Korok Seed,Korok Seed,Gerudo Highlands,"Location:On the cliffside, near the smooth rocks.Puzzle:Place the boulder (found in the northern pit) in the tree stump.Coordinates:-4420, -0352, 0515"
Korok Seed,Korok Seed,Hebra Mountains,"Location:On the hilltopPuzzle:Glide down to a finish tree stumpCoordinates:-1971, 3115, 0352"
Korok Seed,Korok Seed,West Necluda,"Location:??Puzzle:Shoot the acorn in the tree.Coordinates:1291, -1331, 0160"
Korok Seed,Korok Seed,East Necluda,"Location:??Puzzle:Complete the rock circleCoordinates:4337, -1874, 0211"
Korok Seed,Korok Seed,Mount Lanayru,"Location:Tall pointy rock in the water near the ring of plantsPuzzle:Dive into the ring of plantsCoordinates:4187, -0815, 0000"
Korok Seed,Korok Seed,Mount Lanayru,"Location:On top of an ice pillarPuzzle:Shoot the dandelion from below, then catch the DandelionCoordinates:3744, -1154, 0437"
Korok Seed,Korok Seed,Mount Lanayru,"Location:“On top of a dead treePuzzle:Examine lights at the top of a treeCoordinates:3563, -1114, 0254"
Korok Seed,Korok Seed,West Necluda,"Location:??Puzzle:Complete the puzzle pieceCoordinates:-0159, 0096, 0021"
Korok Seed,Korok Seed,West Necluda,"Location:On the south bank of the Lanayru Promenade west of O-ogim Shrine.Puzzle:Shoot the nut hanging on the TreeCoordinates:2547, -1077, 0112"
Korok Seed,Korok Seed,West Necluda,"Location:Under the stairsPuzzle:Lift up the stone under the stairsCoordinates:2834, -1119, 0102"
Korok Seed,Korok Seed,West Necluda,"Location:Beside the tree abovePuzzle:Follow the flowerCoordinates:2766, -1217, 0166End Coordinates:2705, -1164, 0097"
Korok Seed,Korok Seed,Faron Grasslands,"Location:South of the waterfall of Rodai LakePuzzle:Jump into the Flower circleCoordinates:1799, -3179, 0082"
Korok Seed,Korok Seed,Faron Grasslands,"Location:Behind the waterfallPuzzle:Burn the leaves and lift the rock.Coordinates:1776, -2993, 0082"
Korok Seed,Korok Seed,Faron Grasslands,"Location:On top of the pillarPuzzle:Catch the dandelion before it hits the ground.Coordinates:1580, -3033, 0225"
Korok Seed,Korok Seed,Faron Grasslands,"Location:Ledges on the cliffsidePuzzle:Find the ledge with a stone on the left side and move it to the right side to match the other ledges.Coordinates:1553, -2910, 0181"
Korok Seed,Korok Seed,Faron Grasslands,"Location:Next to the waterfallPuzzle:Find the right place that the red arrows showCoordinates:1792, -3579, 0027"
Korok Seed,Korok Seed,Faron Grasslands,"Location:Under the bridge in the treePuzzle:Lift up the stoneCoordinates:1737, -3465, 0060"
Korok Seed,Korok Seed,East Necluda,"Location:Northern Clarnet CoastPuzzle:Bring hisfriendbackCoordinates:2228, -3832, 0002"
Korok Seed,Korok Seed,East Necluda,"Location:On the beachPuzzle:Bringhis friend in the eastto hereCoordinates:2429, -3944, 0000"
Korok Seed,Korok Seed,East Necluda,"Location:??Puzzle:Offers apples to two statuesCoordinates:2724, -2123, 0148"
Korok Seed,Korok Seed,East Necluda,"Location:??Puzzle:Lift rock on top of skull baseCoordinates:2811, -2248, 0125"
Korok Seed,Korok Seed,East Necluda,"Location:??Puzzle:Complete the stone structure with missing stonesCoordinates:2412, -2269, 0113"
Korok Seed,Korok Seed,East Necluda,"Location:??Puzzle:Under a rock on a cliff.Coordinates:2490, -2122, 0033"
Korok Seed,Korok Seed,East Necluda,"Location:??Puzzle:Bringhis friendto him.Coordinates:2482, -2048, 0009"
Korok Seed,Korok Seed,West Necluda,"Location:In a small  hollow tree trunk still in the ground upright with the opening facing the riverPuzzle:Follow the FlowersCoordinates:1884, -2419, 0039"
Korok Seed,Korok Seed,West Necluda,"Location:??Puzzle:Break the nut inside the fallen treeCoordinates:2000, -2281, 0009"
Korok Seed,Korok Seed,West Necluda,"Location:??Puzzle:Jump from the Cliff into the water flower ringCoordinates:2141, -2220, 0006"
Korok Seed,Korok Seed,West Necluda,"Location:??Puzzle:Catch the dandelionCoordinates:2051, -2092, 0046"
Korok Seed,Korok Seed,Gerudo Desert,"Location:On a stone outcrop in the middle of the openPuzzle:Bring him to hisfriendCoordinates:-4614, -3198, 0037"
Korok Seed,Korok Seed,Faron Grasslands,"Location:Around big red rocksPuzzle:Catch the sparklesCoordinates:1609, -3802, 0091"
Korok Seed,Korok Seed,Lanayru Great Spring,"Location:??Puzzle:Small Tower of stones, fit the loose one into the right positionCoordinates:4272, 0136, 0100"
Korok Seed,Korok Seed,Lanayru Great Spring,"Location:Top of towerPuzzle:Shoot the balloonsCoordinates:2336, 0273, 0026"
Korok Seed,Korok Seed,Eldin Canyon,"Location:On the ground next to the construction materials.Puzzle:Bring the Korok tohis friend.Coordinates:1534, 1606, 0305"
Korok Seed,Korok Seed,Gerudo Highlands,"Location:??Puzzle:Melt the ice. Lift the rock to reveal the Korok.Coordinates:-3010, -1501, 0577"
Korok Seed,Korok Seed,East Necluda,"Location:??Puzzle:Balloon - Shoot the balloon, hidden at the top of the tree.Coordinates:2278, -2359, 0180"
Korok Seed,Korok Seed,Eldin Canyon,"Location:By the lake shore.Puzzle:Using Ultrahand, complete the puzzle.Coordinates:2719, 1154, 0178"
Korok Seed,Korok Seed,Hyrule Ridge,"Location:Atop the small hill, on a tree stump.Puzzle:Using your glider, land on top of the bullseye without touching the ground.Coordinates:-2478, -0509, 0222"
Korok Seed,Korok Seed,Hyrule Field,"Location:On the shorePuzzle:Take the Korok to hisfriendCoordinates:-0774, 0938, 0017"
Korok Seed,Korok Seed,Deep Akkala,"Location:Akkala WildsPuzzle:Take him to hisfriendCoordinates:3351, 3664, 0221"
